Country,Region,Year,Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (?æg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (?øC),Population Density (people per km?ý)
Mexico,South,2005,Well,0.12,8.16,4.22,9.15,49.35,12.51,4182,Filtration,36.6,466,31,68,58.78,25661,23.03,55.55,69.23,2295,31.44,414
Pakistan,West,2005,Tap,8.33,7.4,2.66,8.87,27.09,14.24,1419,Chlorination,77.36,261,18,56,11.18,75241,43.13,41.57,87.91,1897,23.9,57
India,East,2005,Spring,7.77,7.89,4.36,5.13,45.33,4.38,3659,None,90.22,343,31,83,55.49,66797,39.85,18.07,89.26,1341,15.96,663
India,Central,2005,Well,1.14,6.19,3.39,8.18,43.29,18.29,222,Chlorination,84.94,258,26,1,66.5,37714,88.35,39.74,46.63,2249,1.93,448
Ethiopia,Central,2005,Tap,2.49,7.6,1.99,6.96,19.04,7.81,1757,None,30.93,319,49,37,10.89,85429,25.03,48.96,97.33,2985,24.33,803
Pakistan,Central,2005,Tap,4.52,6.24,1.93,8.77,39.75,16.42,3985,None,30.36,32,30,85,11.03,87111,91.79,79.04,56.28,1067,3.93,451
Mexico,Central,2005,Well,2.19,6.4,3.09,3.98,24.24,2.97,3411,Chlorination,43.34,339,2,58,3.99,78711,99.59,22.29,70.27,682,6.22,149
China,East,2005,River,1.85,7.57,4.46,3.35,45.36,14.7,4452,None,56.07,283,22,65,30.79,76545,38.37,26.18,53.92,2516,27.14,680
Pakistan,North,2005,Tap,8.25,6.25,2.56,8.64,25.79,9.44,3176,Boiling,37.24,491,5,5,49.89,64978,6.76,65.81,96.4,1529,0.72,956
Indonesia,East,2005,Well,5.32,6.32,2.73,9.77,45.09,17.18,4117,None,32.4,289,40,39,58.71,65952,82.84,76.9,81.45,2031,23.93,320
Mexico,North,2005,Pond,6.84,6.82,3.49,5.13,35.83,4.07,930,Boiling,92.88,389,42,47,86.18,10699,53.56,68.64,23.55,481,27.02,934
India,West,2005,Pond,7.02,7.88,0.28,6.45,49.61,14.11,3344,Boiling,38.14,205,29,87,68.04,96799,57.48,59.7,81.85,589,3.07,494
Ethiopia,East,2005,Lake,6.64,7.53,3.45,9.41,16.98,1.69,983,None,74.83,438,29,15,63.63,95984,25.2,64.38,51.67,1323,38.12,133
Nigeria,West,2005,Pond,3.58,7.01,0.16,3.41,28.63,5.91,4387,None,75.16,390,13,5,3.99,32160,81.16,60.92,32.76,980,10.68,151
Pakistan,West,2005,Well,8.54,6.17,0.63,5.44,1.11,9.09,337,Filtration,93.58,83,15,85,96.51,99206,46.25,54.46,57.34,1192,12.81,260
Ethiopia,Central,2005,Lake,8.8,6.39,2.21,3.01,15.48,10.84,4445,None,44.13,15,11,77,45.85,73296,47.18,87.79,25.48,1901,12.56,536
USA,North,2005,Tap,9.61,6.84,1.77,9.86,2.92,10.07,960,None,87.11,238,47,67,58.02,40052,53.82,61.28,44.03,1005,35.98,643
USA,Central,2005,Tap,5.35,7.58,2.49,8.52,48.24,5.49,1618,Filtration,81.59,441,7,73,78.18,48958,25.95,56.52,99.78,2603,35.52,346
China,East,2005,River,5.87,8.09,3.26,4.04,24.01,2.52,391,Chlorination,53.98,11,30,35,17.47,59037,32.62,53.16,92.26,514,24.54,195
Indonesia,East,2005,River,0.31,7.94,4.61,8.84,7.92,17.05,2013,Filtration,75.76,92,21,1,46.58,67759,49.63,11.97,36.4,2772,2.74,482
USA,South,2005,River,9.57,7.98,3.69,9.65,29.09,10.85,1827,Chlorination,89.58,94,44,5,83.63,15468,7.33,25.79,99.15,1470,15.7,429
China,South,2005,Well,4.93,6.03,3.69,5.76,39.78,16.59,4540,Filtration,56.71,387,44,51,93.56,91512,61.16,70.22,98.78,1368,24.42,913
Bangladesh,Central,2005,Lake,3.41,6.12,1.68,7.6,47.81,6.19,167,None,83.73,25,10,27,96.93,62553,73.08,57.12,79.72,514,39.5,196
Mexico,Central,2005,Well,6.15,7.38,2.92,6.96,43.06,5.24,3483,Chlorination,43.91,211,13,7,75.61,53989,80.38,47.68,67.5,2456,7.26,828
China,South,2005,Spring,3.16,7.69,2.63,8.34,17.99,17.19,2752,Boiling,51.59,224,2,9,49.72,41193,21.94,53.49,34.08,1592,3.62,614
Bangladesh,West,2005,Spring,2.96,7.29,3.53,9.98,34.42,19.02,4115,Chlorination,89.26,410,30,14,49.04,16104,83.24,16.33,97.26,2591,25.09,80
Indonesia,East,2005,Well,1.79,6.56,3.24,5.83,23.35,9.83,808,None,44.2,144,43,68,83.51,51263,82.07,43.99,53.29,1994,7.08,205
Bangladesh,West,2005,Well,6.42,6.18,1.44,6.05,4.79,6.67,542,Chlorination,77.01,416,41,77,80.88,81945,78.96,57.75,87.16,1449,31.27,915
Bangladesh,North,2005,Tap,3.63,8.29,3.95,8.69,31.23,15.56,3648,Boiling,83,46,48,77,12.38,28481,83.06,78.34,74.43,1199,31.6,676
Brazil,South,2005,River,0.69,8.22,1.44,5.21,29.39,9.47,3108,Filtration,57.09,353,32,80,13.3,65772,71.76,42.87,75.26,2418,8.28,515
Nigeria,Central,2005,Pond,3.1,6.29,4.69,3.62,38.5,15.37,1801,Boiling,56.33,427,7,92,21.34,83684,85.83,38.25,54.82,1924,23.09,514
China,North,2005,River,7.67,7.67,0.06,3.42,9.26,0.72,1548,Chlorination,63.7,318,41,64,14.96,26915,48.15,69.09,96.21,838,5.78,418
Brazil,North,2005,Tap,8.33,6.21,3.01,5.58,7.68,17.65,326,Boiling,79.21,216,14,36,76.92,47464,47.01,49.07,97.72,1332,22.9,532
Brazil,East,2005,Tap,3.93,7.21,2.31,8.44,42.08,15.87,1638,Chlorination,67.25,264,45,71,2.87,46201,42.6,88.67,28.43,824,15.56,974
Ethiopia,North,2005,Tap,0.21,6.63,4.93,9.77,14.43,7.41,443,Filtration,30.9,58,6,55,60.27,24858,97.99,19.45,41.52,1823,6.44,665
